41,20417,970728,1428806398
41,62420,2015556,1433013519
41,63498,2015557,1434379051
41,62420,147207,1433014487
41,13322,2015558,1426918260
41,5551,1288163,1435892734
41,19922,766835,1433691144
48,35230,145811,1431021659
48,1606,2015586,1434163054
48,73325,1949039,1427822299
48,79460,2015601,1439302006
48,79460,2015602,1439302075
48,17643,2015603,1427786916
48,34501,713482,1442353469
48,34501,2015605,1442353531
48,80483,1283876,1427838428
48,66548,2015623,1436200618
48,71580,983123,1427109342
49,11005,244503,1437635906
49,11005,243546,1437635893
49,24846,615215,1429463552
49,18975,919451,1440719750
49,12488,2015651,1437522435
49,11005,461143,1437635919
49,40199,2015652,1440867681
49,59755,2015653,1436443726
49,64972,115698,1429150525
49,54473,48528,1429716904
49,14508,461143,1433856580
49,60391,16856,1432849017
49,72368,2015654,1426467527
49,27606,2015655,1435332321
49,76581,1911641,1436546081
49,43396,532526,1436179101
49,28625,2009456,1434810523
49,18903,304832,1440867272
49,67947,241991,1428944414
49,74905,2015656,1433022238
49,38674,14793,1441208922
49,80422,243463,1428922510
49,59755,868964,1432946958
49,2779,540011,1431868162
49,22080,16358,1436446716
49,39559,518609,1436763668
49,22080,788061,1436446822
49,81826,2015657,1436921697
49,12488,198367,1437493043
49,81998,150701,1431908309
49,73882,180190,1432482281
49,30876,1901711,1428689057
49,16342,454156,1434772449
49,81826,2015658,1427208714
49,11005,87777,1437635850
49,73212,1552551,1432848968
49,11005,461358,1437635864
60,60372,638874,1434592675
60,78290,111714,1434982258
60,43391,34056,1434639128
60,45124,1232511,1434481284
60,45124,1232804,1434481298
60,21209,111714,1435953717
60,45501,638874,1434416831
60,78290,250471,1434982228
60,33767,130031,1434394105
68,17317,1939245,1425242766
82439,7010,2015770,1431343610
99,73212,2015974,1431111006
99,34492,2016027,1435358344
99,35076,2016035,1432687180
99,35076,2016036,1432687241
99,35076,2016038,1432687215
99,40709,1568818,1429004347
82442,2091,1885111,1426775806
113,21687,2016200,1440559511
